Name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,HR/162
Yan Gomes\gomesya01,97,358,314,36,70,16,0,12,43,2,0,38,84,0.223,0.316,0.389,0.704,78,122,7,5,0,1,6,7.185185185
Franmil Reyes\reyesfr01,99,354,321,43,82,9,0,27,46,0,0,29,93,0.255,0.314,0.536,0.849,120,172,12,0,0,4,1,16.5
Chris Davis*\davisch02,105,352,307,26,55,9,0,12,36,0,0,39,139,0.179,0.276,0.326,0.601,60,100,6,3,0,3,1,7.777777778
Keston Hiura\hiurake01,84,348,314,51,95,23,2,19,49,9,3,25,107,0.303,0.368,0.57,0.938,138,179,6,8,0,1,1,9.851851852
Austin Hedges\hedgeau01,102,347,312,28,55,9,0,11,36,1,0,27,109,0.176,0.252,0.311,0.563,49,97,3,5,2,1,3,6.925925926
Yandy Díaz\diazya01,79,346,307,53,82,20,1,14,38,2,2,35,61,0.267,0.34,0.476,0.816,116,146,9,1,0,4,1,6.827160494
Didi Gregorius*\gregodi01,82,344,324,47,77,14,2,16,61,2,1,17,53,0.238,0.276,0.441,0.718,87,143,5,1,0,2,1,8.098765432
Lourdes Gurriel Jr.\gurrilo01,84,343,314,52,87,19,2,20,50,6,4,20,86,0.277,0.327,0.541,0.869,127,170,4,5,1,3,0,10.37037037
A.J. Pollock\polloaj01,86,342,308,49,82,15,1,15,47,5,1,23,74,0.266,0.327,0.468,0.795,108,144,7,7,0,4,1,7.962962963
Josh Phegley\phegljo01,106,342,314,44,75,18,0,12,62,0,1,15,63,0.239,0.282,0.411,0.693,85,129,11,6,2,5,0,7.851851852
Pedro Severino\severpe01,96,341,305,37,76,13,0,13,44,3,1,29,73,0.249,0.321,0.42,0.74,95,128,5,4,1,2,0,7.703703704
Willie Calhoun*\calhowi01,83,337,309,51,83,14,1,21,48,0,0,23,53,0.269,0.323,0.524,0.848,110,162,5,3,0,2,0,10.75925926
Mitch Moreland*\morelmi01,91,335,298,48,75,17,1,19,58,1,0,34,74,0.252,0.328,0.507,0.835,112,151,12,1,0,2,0,10.67283951
Matt Adams*\adamsma01,111,333,310,42,70,14,0,20,56,0,0,20,115,0.226,0.276,0.465,0.741,83,144,7,2,0,1,1,13.7037037
